,time,cell_count,egf_count,active_egfr,inactive_egfr,egfr,egf,diss_const,k1,sim
0,72000,1,183,2,4,6.0,0.4,0.001388888888888889,0.8,1.0
1,144000,2,174,1,11,6.0,0.4,0.001388888888888889,0.8,1.0
2,216000,4,175,2,22,6.0,0.4,0.001388888888888889,0.8,1.0
3,288000,5,197,2,28,6.0,0.4,0.001388888888888889,0.8,1.0
4,360000,3,191,3,15,6.0,0.4,0.001388888888888889,0.8,1.0
5,432000,3,181,6,12,6.0,0.4,0.001388888888888889,0.8,1.0
6,504000,6,193,5,31,6.0,0.4,0.001388888888888889,0.8,1.0
7,576000,8,184,9,39,6.0,0.4,0.001388888888888889,0.8,1.0
8,648000,8,175,7,41,6.0,0.4,0.001388888888888889,0.8,1.0
9,720000,8,182,3,45,6.0,0.4,0.001388888888888889,0.8,1.0
10,792000,8,176,5,43,6.0,0.4,0.001388888888888889,0.8,1.0
11,864000,7,186,4,38,6.0,0.4,0.001388888888888889,0.8,1.0
12,936000,6,189,3,33,6.0,0.4,0.001388888888888889,0.8,1.0
13,1008000,6,198,3,33,6.0,0.4,0.001388888888888889,0.8,1.0
14,1080000,8,166,7,41,6.0,0.4,0.001388888888888889,0.8,1.0
15,72000,1,201,2,4,6.0,0.4,0.001388888888888889,0.8,2.0
16,144000,2,191,4,8,6.0,0.4,0.001388888888888889,0.8,2.0
17,216000,4,190,5,19,6.0,0.4,0.001388888888888889,0.8,2.0
18,288000,4,192,5,19,6.0,0.4,0.001388888888888889,0.8,2.0
19,360000,6,197,7,29,6.0,0.4,0.001388888888888889,0.8,2.0
20,432000,8,193,7,41,6.0,0.4,0.001388888888888889,0.8,2.0
21,504000,10,173,8,52,6.0,0.4,0.001388888888888889,0.8,2.0
22,576000,16,173,14,82,6.0,0.4,0.001388888888888889,0.8,2.0
23,648000,18,153,18,90,6.0,0.4,0.001388888888888889,0.8,2.0
24,720000,20,148,16,104,6.0,0.4,0.001388888888888889,0.8,2.0
25,792000,24,155,14,130,6.0,0.4,0.001388888888888889,0.8,2.0
26,864000,26,140,16,140,6.0,0.4,0.001388888888888889,0.8,2.0
27,936000,28,152,10,158,6.0,0.4,0.001388888888888889,0.8,2.0
28,1008000,26,137,6,150,6.0,0.4,0.001388888888888889,0.8,2.0
29,1080000,15,141,5,85,6.0,0.4,0.001388888888888889,0.8,2.0
30,72000,1,182,1,5,6.0,0.4,0.001388888888888889,0.8,3.0
31,144000,3,182,1,17,6.0,0.4,0.001388888888888889,0.8,3.0
32,216000,4,193,2,22,6.0,0.4,0.001388888888888889,0.8,3.0
33,288000,3,192,4,14,6.0,0.4,0.001388888888888889,0.8,3.0
34,360000,4,190,4,20,6.0,0.4,0.001388888888888889,0.8,3.0
35,432000,6,178,5,31,6.0,0.4,0.001388888888888889,0.8,3.0
36,504000,8,181,7,41,6.0,0.4,0.001388888888888889,0.8,3.0
37,576000,12,178,12,60,6.0,0.4,0.001388888888888889,0.8,3.0
38,648000,14,177,11,73,6.0,0.4,0.001388888888888889,0.8,3.0
39,720000,16,165,12,84,6.0,0.4,0.001388888888888889,0.8,3.0
40,792000,18,159,12,96,6.0,0.4,0.001388888888888889,0.8,3.0
41,864000,15,160,13,77,6.0,0.4,0.001388888888888889,0.8,3.0
42,936000,18,161,16,92,6.0,0.4,0.001388888888888889,0.8,3.0
43,1008000,20,153,15,105,6.0,0.4,0.001388888888888889,0.8,3.0
44,1080000,22,145,14,118,6.0,0.4,0.001388888888888889,0.8,3.0
45,72000,1,180,0,6,6.0,0.4,0.001388888888888889,0.8,4.0
46,144000,0,188,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
47,216000,0,179,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
48,288000,0,194,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
49,360000,0,204,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
50,432000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
51,504000,0,202,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
52,576000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
53,648000,0,210,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
54,720000,0,201,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
55,792000,0,183,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
56,864000,0,206,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
57,936000,0,210,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
58,1008000,0,192,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
59,1080000,0,197,0,0,6.0,0.4,0.001388888888888889,0.8,4.0
60,72000,1,193,4,2,6.0,0.4,0.001388888888888889,0.8,5.0
61,144000,2,179,4,8,6.0,0.4,0.001388888888888889,0.8,5.0
62,216000,4,185,3,21,6.0,0.4,0.001388888888888889,0.8,5.0
63,288000,4,201,4,20,6.0,0.4,0.001388888888888889,0.8,5.0
64,360000,4,188,5,19,6.0,0.4,0.001388888888888889,0.8,5.0
65,432000,4,175,4,20,6.0,0.4,0.001388888888888889,0.8,5.0
66,504000,2,181,1,11,6.0,0.4,0.001388888888888889,0.8,5.0
67,576000,2,200,3,9,6.0,0.4,0.001388888888888889,0.8,5.0
68,648000,4,204,5,19,6.0,0.4,0.001388888888888889,0.8,5.0
69,720000,6,203,0,36,6.0,0.4,0.001388888888888889,0.8,5.0
70,792000,0,213,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
71,864000,0,193,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
72,936000,0,187,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
73,1008000,0,203,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
74,1080000,0,188,0,0,6.0,0.4,0.001388888888888889,0.8,5.0
75,72000,1,200,0,6,6.0,0.4,0.001388888888888889,0.8,6.0
76,144000,1,183,1,5,6.0,0.4,0.001388888888888889,0.8,6.0
77,216000,3,179,1,17,6.0,0.4,0.001388888888888889,0.8,6.0
78,288000,3,185,0,18,6.0,0.4,0.001388888888888889,0.8,6.0
79,360000,1,195,1,5,6.0,0.4,0.001388888888888889,0.8,6.0
80,432000,0,196,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
81,504000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
82,576000,0,190,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
83,648000,0,187,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
84,720000,0,198,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
85,792000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
86,864000,0,193,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
87,936000,0,194,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
88,1008000,0,183,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
89,1080000,0,199,0,0,6.0,0.4,0.001388888888888889,0.8,6.0
90,72000,1,207,1,5,6.0,0.4,0.001388888888888889,0.8,7.0
91,144000,3,189,1,17,6.0,0.4,0.001388888888888889,0.8,7.0
92,216000,5,189,1,29,6.0,0.4,0.001388888888888889,0.8,7.0
93,288000,4,175,3,21,6.0,0.4,0.001388888888888889,0.8,7.0
94,360000,6,179,5,31,6.0,0.4,0.001388888888888889,0.8,7.0
95,432000,10,193,10,50,6.0,0.4,0.001388888888888889,0.8,7.0
96,504000,8,175,13,35,6.0,0.4,0.001388888888888889,0.8,7.0
97,576000,12,171,10,62,6.0,0.4,0.001388888888888889,0.8,7.0
98,648000,16,167,12,84,6.0,0.4,0.001388888888888889,0.8,7.0
99,720000,16,162,11,85,6.0,0.4,0.001388888888888889,0.8,7.0
100,792000,18,156,13,95,6.0,0.4,0.001388888888888889,0.8,7.0
101,864000,11,161,7,59,6.0,0.4,0.001388888888888889,0.8,7.0
102,936000,10,160,11,49,6.0,0.4,0.001388888888888889,0.8,7.0
103,1008000,8,178,6,42,6.0,0.4,0.001388888888888889,0.8,7.0
104,1080000,10,169,7,53,6.0,0.4,0.001388888888888889,0.8,7.0
105,72000,1,196,2,4,6.0,0.4,0.001388888888888889,0.8,8.0
106,144000,2,186,2,10,6.0,0.4,0.001388888888888889,0.8,8.0
107,216000,2,192,6,6,6.0,0.4,0.001388888888888889,0.8,8.0
108,288000,4,196,7,17,6.0,0.4,0.001388888888888889,0.8,8.0
109,360000,8,196,9,39,6.0,0.4,0.001388888888888889,0.8,8.0
110,432000,8,169,7,41,6.0,0.4,0.001388888888888889,0.8,8.0
111,504000,6,178,10,26,6.0,0.4,0.001388888888888889,0.8,8.0
112,576000,10,188,14,46,6.0,0.4,0.001388888888888889,0.8,8.0
113,648000,18,179,8,100,6.0,0.4,0.001388888888888889,0.8,8.0
114,720000,14,165,9,75,6.0,0.4,0.001388888888888889,0.8,8.0
115,792000,16,161,9,87,6.0,0.4,0.001388888888888889,0.8,8.0
116,864000,14,157,8,76,6.0,0.4,0.001388888888888889,0.8,8.0
117,936000,11,165,6,60,6.0,0.4,0.001388888888888889,0.8,8.0
118,1008000,13,182,14,64,6.0,0.4,0.001388888888888889,0.8,8.0
119,1080000,16,183,13,83,6.0,0.4,0.001388888888888889,0.8,8.0
120,72000,1,192,1,5,6.0,0.4,0.001388888888888889,0.8,9.0
121,144000,2,195,3,9,6.0,0.4,0.001388888888888889,0.8,9.0
122,216000,2,190,3,9,6.0,0.4,0.001388888888888889,0.8,9.0
123,288000,2,188,2,10,6.0,0.4,0.001388888888888889,0.8,9.0
124,360000,0,178,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
125,432000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
126,504000,0,191,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
127,576000,0,200,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
128,648000,0,190,0,0,6.0,0.4,0.001388888888888889,0.8,9.0
